(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(62884, 53, 4);[300, 8, 30, 5];343;שחלה;16698;(1, 41, 55, 20, 16698);תעשו;3;(1, 41, 55, 72, 62884);ותרעב כל ארץ מצרים ויצעק העם אל פרעה ללחם ויאמר פרעה לכל מצרים לכו אל יוסף אשר יאמר לכם תעשו
(9324, 58, 4);[300, 8, 30, 5];343;שחלה;2499;(1, 8, 4, 6, 2499);עשר;2;(1, 8, 4, 25, 9324);ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט
(46390, 58, 4);[300, 8, 30, 5];343;שחלה;12371;(1, 31, 53, 9, 12371);וישבע;3;(1, 31, 53, 41, 46390);אלהי אברהם ואלהי נחור ישפטו בינינו אלהי אביהם וישבע יעקב בפחד אביו יצחק
(21664, 60, 4);[300, 8, 30, 5];343;שחלה;5787;(1, 18, 25, 9, 5787);רשע;2;(1, 18, 25, 30, 21664);חללה לך מעשת כדבר הזה להמית צדיק עם רשע והיה כצדיק כרשע חללה לך השפט כל הארץ לא יעשה משפט
(9758, 61, 4);[300, 8, 30, 5];343;שחלה;2617;(1, 8, 13, 3, 2617);ושש;3;(1, 8, 13, 11, 9758);ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה
(25512, 62, 4);[300, 8, 30, 5];343;שחלה;6801;(1, 21, 4, 7, 6801);שמנת;1;(1, 21, 4, 21, 25512);וימל אברהם את יצחק בנו בן שמנת ימים כאשר צוה אתו אלהים
(60261, 62, 4);[300, 8, 30, 5];343;שחלה;16011;(1, 41, 5, 5, 16011);שבע;1;(1, 41, 5, 19, 60261);ויישן ויחלם שנית והנה שבע שבלים עלות בקנה אחד בריאות וטבות
(53747, 63, 4);[300, 8, 30, 5];343;שחלה;14320;(1, 36, 36, 5, 14320);שמלה;1;(1, 36, 36, 18, 53747);וימת הדד וימלך תחתיו שמלה ממשרקה
(60675, 69, 4);[300, 8, 30, 5];343;שחלה;16112;(1, 41, 13, 2, 16112);כאשר;3;(1, 41, 13, 7, 60675);ויהי כאשר פתר לנו כן היה אתי השיב על כני ואתו תלה
(46369, 70, 4);[300, 8, 30, 5];343;שחלה;12367;(1, 31, 53, 5, 12367);ישפטו;2;(1, 31, 53, 20, 46369);אלהי אברהם ואלהי נחור ישפטו בינינו אלהי אביהם וישבע יעקב בפחד אביו יצחק
(13319, 73, 4);[300, 8, 30, 5];343;שחלה;3571;(1, 11, 14, 3, 3571);שלשים;3;(1, 11, 14, 9, 13319);ושלח חי שלשים שנה ויולד את עבר
(33065, 73, 4);[300, 8, 30, 5];343;שחלה;8814;(1, 25, 6, 8, 8814);וישלחם;3;(1, 25, 6, 37, 33065);ולבני הפילגשים אשר לאברהם נתן אברהם מתנת וישלחם מעל יצחק בנו בעודנו חי קדמה אל ארץ קדם
(29258, 74, 4);[300, 8, 30, 5];343;שחלה;7815;(1, 23, 19, 6, 7815);שרה;1;(1, 23, 19, 18, 29258);ואחרי כן קבר אברהם את שרה אשתו אל מערת שדה המכפלה על פני ממרא הוא חברון בארץ כנען
(41084, 75, 4);[300, 8, 30, 5];343;שחלה;10938;(1, 29, 27, 14, 10938);שבע;1;(1, 29, 27, 43, 41084);מלא שבע זאת ונתנה לך גם את זאת בעבדה אשר תעבד עמדי עוד שבע שנים אחרות
(63486, 82, 4);[300, 8, 30, 5];343;שחלה;16856;(1, 42, 11, 3, 16856);איש;3;(1, 42, 11, 10, 63486);כלנו בני איש אחד נחנו כנים אנחנו לא היו עבדיך מרגלים
(58005, 85, 4);[300, 8, 30, 5];343;שחלה;15423;(1, 39, 8, 15, 15423);יש;2;(1, 39, 8, 48, 58005);וימאן ויאמר אל אשת אדניו הן אדני לא ידע אתי מה בבית וכל אשר יש לו נתן בידי
(25923, 87, 4);[300, 8, 30, 5];343;שחלה;6915;(1, 21, 14, 1, 6915);וישכם;3;(1, 21, 14, 3, 25923);וישכם אברהם בבקר ויקח לחם וחמת מים ויתן אל הגר שם על שכמה ואת הילד וישלחה ותלך ותתע במדבר באר שבע
(34772, 87, 4);[300, 8, 30, 5];343;שחלה;9254;(1, 26, 7, 14, 9254);אנשי;3;(1, 26, 7, 56, 34772);וישאלו אנשי המקום לאשתו ויאמר אחתי הוא כי ירא לאמר אשתי פן יהרגני אנשי המקום על רבקה כי טובת מראה הוא
(9332, 88, 4);[300, 8, 30, 5];343;שחלה;2501;(1, 8, 4, 8, 2501);לחדש;4;(1, 8, 4, 33, 9332);ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט
(33578, 88, 4);[300, 8, 30, 5];343;שחלה;8945;(1, 25, 17, 10, 8945);שנים;1;(1, 25, 17, 36, 33578);ואלה שני חיי ישמעאל מאת שנה ושלשים שנה ושבע שנים ויגוע וימת ויאסף אל עמיו
(77321, 88, 4);[300, 8, 30, 5];343;שחלה;20417;(1, 50, 13, 11, 20417);אשר;2;(1, 50, 13, 45, 77321);וישאו אתו בניו ארצה כנען ויקברו אתו במערת שדה המכפלה אשר קנה אברהם את השדה לאחזת קבר מאת עפרן החתי על פני ממרא
(2556, 90, 4);[300, 8, 30, 5];343;שחלה;670;(1, 2, 19, 12, 670);השמים;2;(1, 2, 19, 39, 2556);ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
(18601, 93, 4);[300, 8, 30, 5];343;שחלה;4987;(1, 16, 6, 6, 4987);שפחתך;1;(1, 16, 6, 18, 18601);ויאמר אברם אל שרי הנה שפחתך בידך עשי לה הטוב בעיניך ותענה שרי ותברח מפניה
(16689, 95, 4);[300, 8, 30, 5];343;שחלה;4472;(1, 14, 12, 11, 4472);ישב;2;(1, 14, 12, 37, 16689);ויקחו את לוט ואת רכשו בן אחי אברם וילכו והוא ישב בסדם
